B,177,11096567586
A,178,11096569520
B,178,11096569602
A,179,11096571492
B,179,11096571517
A,180,11096573457
B,180,11096573491
A,181,11096575372
B,181,11096575391
A,182,11096577345
B,182,11096577371
A,183,11096579301
B,183,11096579343
A,184,11096581243
B,184,11096581371
A,185,11096583238
B,185,11096583258
A,186,11096585131
B,186,11096585153
A,187,11096586913
B,187,11096586954
A,188,11096588879
B,188,11096588898
A,189,11096590842
B,189,11096591537
A,190,11096592785
B,190,11096592811
A,191,11096594732
B,191,11096594745
A,192,11096596694
B,192,11096596726
A,193,11096598632
B,193,11096598691
A,194,11096600603
B,194,11096600619
A,195,11096602547
B,195,11096602579
A,196,11096604482
B,196,11096604505
A,197,11096606429
B,197,11096606472
A,198,11096608406
B,198,11096608422
A,199,11096610360
B,199,11096610402
A,200,11096612304
B,200,11096612336
A,201,11096614254
B,201,11096614328
