A,0,11093909781
B,0,11093909878
A,1,11096225541
B,1,11096225583
A,2,11096226900
B,2,11096226943
A,3,11096228842
B,3,11096228862
A,4,11096230777
B,4,11096230814
A,5,11096232838
B,5,11096232861
A,6,11096234681
B,6,11096234713
A,7,11096236631
B,7,11096236667
A,8,11096238600
B,8,11096238638
A,9,11096240518
B,9,11096240548
A,10,11096242470
B,10,11096242503
A,11,11096244457
B,11,11096244478
A,12,11096246563
B,12,11096246584
A,13,11096248323
B,13,11096248344
A,14,11096250286
B,14,11096250308
A,15,11096252222
B,15,11096252246
A,16,11096254187
B,16,11096254266
A,17,11096256162
B,17,11096256192
A,18,11096258092
B,18,11096258120
A,19,11096260038
B,19,11096260054
A,20,11096261989
B,20,11096262024
A,21,11096263967
B,21,11096263997
A,22,11096265910
B,22,11096265933
A,23,11096267858
B,23,11096267872
A,24,11096269778
B,24,11096269810
A,25,11096271760
B,25,11096271810
A,26,11096273693
B,26,11096273706
A,27,11096275658
B,27,11096275747
A,28,11096277593
B,28,11096277615
A,29,11096279548
B,29,11096279561
A,30,11096281498
B,30,11096281511
A,31,11096283454
B,31,11096283481
A,32,11096285396
B,32,11096285411
A,33,11096286903
B,33,11096286916
A,34,11096288876
B,34,11096288894
A,35,11096290807
B,35,11096290820
A,36,11096292742
B,36,11096292766
A,37,11096294711
B,37,11096294725
A,38,11096296649
B,38,11096296677
A,39,11096298594
B,39,11096298617
A,40,11096300560
B,40,11096300573
A,41,11096302524
B,41,11096302563
A,42,11096304462
B,42,11096304475
A,43,11096306432
B,43,11096306446
A,44,11096308364
B,44,11096308377
A,45,11096310300
B,45,11096310325
A,46,11096312286
B,46,11096312304
A,47,11096314220
B,47,11096314235
A,48,11096316166
B,48,11096316178
A,49,11096318115
B,49,11096318132
A,50,11096320071
B,50,11096320097
A,51,11096322021
B,51,11096322062
A,52,11096323984
B,52,11096324036
A,53,11096325926
B,53,11096325953
A,54,11096327877
B,54,11096327899
A,55,11096329828
B,55,11096329850
A,56,11096331766
B,56,11096331798
A,57,11096333719
B,57,11096333731
A,58,11096335657
B,58,11096335692
A,59,11096337622
B,59,11096337669
A,60,11096339574
B,60,11096339598
A,61,11096341544
B,61,11096341584
A,62,11096343515
B,62,11096343544
A,63,11096345421
B,63,11096345451
A,64,11096347375
B,64,11096347410
A,65,11096349341
B,65,11096349361
A,66,11096351282
B,66,11096351295
A,67,11096353228
B,67,11096353306
A,68,11096355178
B,68,11096355207
A,69,11096357127
B,69,11096357143
A,70,11096359080
B,70,11096359105
A,71,11096361044
B,71,11096361057
A,72,11096362997
B,72,11096363009
A,73,11096364935
B,73,11096364947
A,74,11096366902
B,74,11096366942
A,75,11096368836
B,75,11096368867
A,76,11096370808
B,76,11096370823
A,77,11096372739
B,77,11096372770
A,78,11096374717
